Output for File: data/1990 US Census/Dataset.data
Correlation Matrix:

        x0    x1    x2    x3    x4    x5    x6    x7    x8    x9    x10   x11   x12   x13   x14   x15   x16   x17   x18   x19   x20   x21   x22   x23   x24   x25   x26   x27   x28   x29   x30   x31   x32   x33   x34   x35   x36   x37   x38   x39   x40   x41   x42   x43   x44   x45   x46   x47   x48   x49   x50   x51   x52   x53   x54   x55   x56   x57   x58   x59   x60   x61   x62   x63   x64   x65   x66   x67   x68   x69   x70   x71   x72   x73   x74   x75   x76   x77   x78   x79   x80   x81   x82   x83   x84   x85   x86   x87   x88   x89   x90   x91   x92   x93   x94   x95   x96   x97   x98   x99   x100  x101  x102  x103  x104  x105  x106  x107  x108  x109  x110  x111  x112  x113  x114  x115  x116  x117  x118  x119  x120  x121  x122  x123  x124  x125  x126  x127  x128  x129  x130  x131  x132  x133  x134  x135  x136  x137  
x0:    1.00  0.02 -0.02 -0.02 -0.02  0.00  0.00  0.00  0.00 -0.07  0.07  0.15 -0.09 -0.09 -0.10 -0.04 -0.03 -0.03  0.01 -0.01  0.02 -0.01  0.05  0.01  0.02 -0.10  0.01  0.02 -0.01  0.05 -0.08  0.00 -0.02  0.01  0.03  0.00 -0.06  0.02 -0.04 -0.03 -0.03  0.04  0.00  0.15 -0.09 -0.09 -0.09 -0.04 -0.03  0.03 -0.03 -0.12  0.12  0.04 -0.05  0.03 -0.06 -0.02  0.04 -0.04  0.01 -0.01  0.00  0.00  0.00  0.00  0.02  0.01  0.02 -0.05  0.00  0.01 -0.08  0.15 -0.09 -0.09 -0.09 -0.04  0.15 -0.08 -0.10 -0.09 -0.03  0.12 -0.09 -0.06 -0.08 -0.04  0.03 -0.03  0.04  0.03 -0.17  0.17  0.19  0.22  0.09  0.05 -0.05 -0.04  0.04 -0.04  0.05 -0.06 -0.02 -0.06 -0.04  0.01  0.10 -0.06 -0.04 -0.08 -0.08 -0.09 -0.09 -0.09 -0.08 -0.12 -0.07 -0.10 -0.08 -0.07 -0.08 -0.06 -0.06 -0.07  0.01 -0.08 -0.06 -0.09 -0.06 -0.06 -0.05 -0.05  0.01  0.05 -0.01  0.08 
x1:    0.02  1.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00 -0.01 -0.01  0.02  0.00  0.02  0.01  0.00  0.00  0.03 -0.03  0.01  0.00  0.00 -0.02  0.01  0.02  0.00  0.01 -0.03  0.02  0.03 -0.02 -0.02 -0.03  0.03  0.01  0.02  0.02  0.02  0.01  0.01 -0.03 -0.01  0.00  0.02  0.00  0.02  0.01 -0.03  0.03  0.02 -0.02  0.02  0.01 -0.03  0.01  0.00  0.02 -0.02  0.00  0.00  0.00  0.00  0.00  0.00  0.02  0.01  0.00  0.01  0.00 -0.02  0.00 -0.01  0.00  0.02  0.00  0.02 -0.01  0.00  0.02  0.00  0.02  0.00 -0.01  0.02  0.00  0.02 -0.01  0.01 -0.02  0.00  0.00  0.00  0.01  0.02 -0.01 -0.01  0.01  0.03 -0.02  0.02  0.01  0.00  0.03  0.01  0.03 -0.05  0.04  0.03  0.01  0.03  0.03  0.03  0.03  0.03  0.03  0.03  0.03  0.03  0.03  0.03  0.03  0.04  0.04  0.04  0.01  0.04  0.02  0.02  0.03  0.03  0.03  0.03  0.01 -0.01  0.02 -0.01 
x2:   -0.02  0.00  1.00  1.00  1.00  0.00  0.00  0.00  0.00  0.00  0.00 -0.07  0.06 -0.02  0.07  0.07  0.07 -0.01  0.04  0.04 -0.05  0.10 -0.08  0.05 -0.03  0.02  0.10 -0.08  0.07 -0.04  0.06 -0.05  0.05  0.02  0.02 -0.05  0.10 -0.06  0.02 -0.01  0.01 -0.04  0.05 -0.06  0.06 -0.02  0.06  0.06  0.06 -0.06  0.06  0.10 -0.10 -0.06  0.00  0.02  0.10  1.00  0.04 -0.04 -0.12  0.12  0.00  0.00  0.00  0.00  0.10  0.00 -0.01 -0.03 -0.01 -0.06 -0.01 -0.06  0.06 -0.02  0.06  0.06 -0.05  0.04 -0.02  0.06  0.04 -0.07  0.06 -0.02  0.07  0.06 -0.06  0.06 -0.03 -0.02  0.06 -0.06 -0.05  0.02 -0.07 -0.01  0.01  0.00 -0.01  0.02  0.01 -0.01  0.03 -0.01  0.00 -0.09  0.03  0.08  0.49  0.07  0.08  0.08  0.08  0.09  0.09  0.12  0.10  0.11  0.08  0.09  0.09  0.08  0.09  0.09  0.01  0.10  0.11  0.13  0.13  0.12  0.11  0.10  0.05 -0.03  0.04 -0.02 
x3:   -0.02  0.00  1.00  1.00  1.00  0.00  0.00  0.00  0.00  0.00  0.00 -0.07  0.06 -0.02  0.07  0.07  0.07 -0.01  0.03  0.05 -0.05  0.09 -0.07  0.05 -0.03  0.02  0.10 -0.07  0.07 -0.04  0.07 -0.04  0.05  0.01  0.01 -0.05  0.10 -0.05  0.02 -0.01  0.01 -0.04  0.05 -0.06  0.06 -0.02  0.06  0.06  0.06 -0.06  0.06  0.10 -0.10 -0.05  0.00  0.01  0.10  1.00  0.04 -0.04 -0.12  0.12  0.00  0.00  0.00  0.00  0.11  0.00 -0.01 -0.03 -0.01 -0.07 -0.01 -0.06  0.06 -0.02  0.06  0.06 -0.04  0.04 -0.02  0.06  0.04 -0.07  0.06 -0.02  0.07  0.06 -0.06  0.06 -0.04 -0.02  0.06 -0.06 -0.04  0.03 -0.07  0.00  0.00  0.00 -0.01  0.01  0.01 -0.01  0.03 -0.02  0.00 -0.10  0.03  0.09  0.46  0.08  0.08  0.09  0.08  0.09  0.10  0.12  0.11  0.11  0.09  0.09  0.09  0.09  0.09  0.10  0.01  0.10  0.12  0.14  0.13  0.13  0.11  0.10  0.05 -0.03  0.04 -0.02 
x4:   -0.02  0.00  1.00  1.00  1.00  0.00  0.00  0.00  0.00  0.00  0.00 -0.07  0.06 -0.02  0.07  0.06  0.06 -0.01  0.03  0.04 -0.04  0.09 -0.08  0.05 -0.02  0.02  0.10 -0.08  0.07 -0.04  0.07 -0.05  0.06  0.01  0.03 -0.06  0.10 -0.06  0.01 -0.02  0.00 -0.04  0.06 -0.06  0.06 -0.02  0.06  0.05  0.06 -0.05  0.05  0.10 -0.10 -0.06  0.00  0.03  0.10  1.00  0.03 -0.03 -0.12  0.12  0.00  0.00  0.00  0.00  0.10  0.00 -0.01 -0.03 -0.01 -0.06 -0.01 -0.06  0.06 -0.02  0.06  0.05 -0.04  0.04 -0.02  0.05  0.03 -0.06  0.06 -0.02  0.07  0.05 -0.06  0.06 -0.03 -0.02  0.07 -0.07 -0.05  0.02 -0.07  0.00  0.00 -0.01 -0.01  0.01  0.02 -0.01  0.02 -0.02 -0.01 -0.09  0.03  0.08  0.46  0.07  0.07  0.08  0.08  0.08  0.09  0.11  0.10  0.10  0.08  0.08  0.09  0.08  0.08  0.09  0.01  0.10  0.11  0.13  0.12  0.12  0.10  0.10  0.05 -0.03  0.04 -0.02 
x5:    0.00  0.00  0.00  0.00  0.00  1.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00 
x6:    0.00  0.00  0.00  0.00  0.00  0.00  1.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00 
x7:    0.00  0.00  0.00  0.00  0.00  0.00  0.00  1.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00 
x8:    0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  1.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00 
x9:   -0.07  0.00  0.00  0.00  0.00  0.00  0.00  0.00  0.00  1.00 -1.00 -0.02 -0.16  0.13  0.09  0.13  0.13  0.17  0.18  0.27 -0.42  0.21 -0.24 -0.01 -0.26  0.10 -0.08  0.35 -0.14 -0.50 -0.13  0.01 -0.22  0.19 -0.34  0.27  0.13  0.00  0.22  0.28  0.08 -0.07 -0.27  0.00 -0.16  0.13  0.08  0.13  0.12 -0.41  0.41  0.18 -0.18  0.11  0.23 -0.34  0.13 -0.01 -0.10  0.10  0.00  0.00  0.00  0.00  0.00  0.00 -0.08 -0.02 -0.01  0.09  0.06 -0.02 -0.01  0.00 -0.16  0.13  0.08  0.13 -0.04 -0.14  0.14  0.08  0.12  0.04 -0.18  0.11  0.08  0.13 -0.12  0.12 -0.40 -0.31  0.04 -0.04 -0.03 -0.10  0.06 -0.23  0.23  0.30 -0.23  0.21 -0.13  0.14  0.25  0.20  0.30 -0.12  0.02  0.10  0.01  0.09  0.09  0.09  0.08  0.08  0.04  0.06  0.03  0.07  0.08  0.05  0.03  0.15  0.14  0.14 -0.05  0.15  0.04  0.07  0.04  0.07  0.06  0.06  0.01 -0.07  0.01 -0.12 
