Output for File: data/Communities and Crime Unnormalized/CommViolPredUnnormalizedData.txt
Correlation Matrix:

        x0    x1    x2    x3    x4    x5    x6    x7    x8    x9    x10   x11   x12   x13   x14   x15   x16   x17   x18   x19   x20   x21   x22   x23   x24   x25   x26   x27   x28   x29   x30   x31   x32   x33   x34   x35   x36   x37   x38   x39   x40   x41   x42   x43   x44   x45   x46   x47   x48   x49   x50   x51   x52   x53   x54   x55   x56   x57   x58   x59   x60   x61   x62   x63   x64   x65   x66   x67   x68   x69   x70   x71   x72   x73   x74   x75   x76   x77   x78   x79   x80   x81   x82   x83   x84   x85   x86   x87   x88   x89   x90   x91   x92   x93   x94   x95   x96   x97   x98   x99   x100  x101  x102  x103  x104  x105  x106  x107  x108  x109  x110  x111  x112  x113  x114  x115  x116  x117  x118  x119  x120  x121  x122  x123  x124  x125  x126  x127  x128  x129  x130  x131  x132  x133  x134  x135  x136  x137  x138  x139  x140  x141  x142  x143  x144  x145  x146  
x0:    1.00 -0.03 -0.04  0.03  0.90 -0.05  0.04 -0.06  0.04  0.01  0.05 -0.02 -0.04 -0.03  0.00 -0.05  0.01  0.06  0.02  0.01  0.04  0.00 -0.04  0.01  0.06  0.04  0.03  0.01 -0.02  0.04  0.03  0.05 -0.05 -0.05  0.00 -0.02  0.01  0.00  0.01  0.01 -0.04 -0.03  0.01 -0.06 -0.04 -0.07 -0.07  0.04  0.08  0.07  0.08  0.08 -0.07 -0.06 -0.05 -0.07 -0.04 -0.06 -0.05 -0.05 -0.05  0.02  0.02  0.02  0.03 -0.05  0.04  0.02  0.03  0.06  0.05  0.02  0.07  0.02 -0.05  0.04 -0.04 -0.04  0.07 -0.05  0.01  0.04 -0.05 -0.02  0.04  0.04  0.04  0.04  0.05  0.05  0.06  0.06  0.06  0.02  0.05  0.02 -0.05 -0.04  0.05 -0.01  0.05  0.03  0.03 -0.04  0.00 -0.04  0.00 -0.05  0.00 -0.02  0.00 -0.02 -0.01 -0.03 -0.02 -0.02 -0.03 -0.05 -0.03  0.00  0.01 -0.03 -0.01 -0.04 -0.04 -0.02 -0.01 -0.04  0.01 -0.05 -0.05 -0.06 -0.03 -0.05 -0.05 -0.05 -0.04 -0.05 -0.04 -0.05 -0.05 -0.05 -0.04 -0.06 -0.05 -0.04  0.84 
x1:   -0.03  1.00  0.08 -0.19 -0.02  0.01 -0.09  0.17 -0.08 -0.15 -0.11  0.15  0.13  0.12 -0.03  0.00 -0.13 -0.26 -0.08  0.08 -0.18 -0.01  0.10 -0.05 -0.25 -0.20 -0.17 -0.18 -0.08 -0.12 -0.10 -0.13  0.01  0.23  0.03  0.05 -0.06  0.07 -0.09  0.01  0.03  0.11 -0.09  0.20 -0.01  0.20  0.21 -0.10 -0.19 -0.17 -0.20 -0.17  0.16  0.12  0.01  0.11 -0.03  0.13  0.11  0.08  0.08 -0.16 -0.17 -0.18 -0.19  0.20 -0.16 -0.05 -0.05 -0.12 -0.16 -0.01 -0.12 -0.05  0.06 -0.04  0.03 -0.08 -0.11  0.03  0.01  0.14  0.23  0.02 -0.31 -0.30 -0.29 -0.22 -0.33 -0.35 -0.35 -0.26 -0.35 -0.06 -0.26 -0.21 -0.01 -0.02 -0.24 -0.01 -0.22 -0.10 -0.19  0.01  0.03  0.01  0.03  0.01  0.05  0.05  0.03  0.03  0.03  0.06 -0.04 -0.01  0.02  0.00  0.03  0.01  0.08 -0.19 -0.24  0.04  0.01  0.03  0.05  0.04  0.02  0.02  0.12  0.03  0.11  0.00  0.02  0.02  0.14  0.03  0.13  0.04  0.23 -0.01 -0.05 -0.01  0.00  0.07 -0.10 
x2:   -0.04  0.08  1.00  0.37 -0.03  0.02 -0.04  0.07  0.02 -0.09 -0.13  0.05  0.04  0.06  0.00  0.02  0.02 -0.03  0.00 -0.07  0.04  0.03  0.00  0.09 -0.02 -0.03 -0.03 -0.02 -0.01 -0.02 -0.01  0.02  0.01 -0.02 -0.02  0.01 -0.03 -0.03 -0.01  0.09  0.04  0.07 -0.03  0.00  0.06 -0.05 -0.03 -0.08 -0.03 -0.02 -0.04 -0.02  0.03  0.05  0.03  0.06 -0.02 -0.04 -0.06 -0.06 -0.07 -0.11 -0.11 -0.12 -0.12  0.14 -0.11 -0.09 -0.09 -0.07 -0.05 -0.11  0.03 -0.12 -0.07  0.09  0.01  0.09  0.02  0.03  0.01 -0.09 -0.02  0.00 -0.10 -0.10 -0.10 -0.07 -0.05 -0.06 -0.07 -0.08 -0.07 -0.06 -0.14  0.04  0.00 -0.01 -0.13  0.15  0.06 -0.02  0.06  0.02  0.02  0.02  0.03  0.04  0.04  0.06  0.02  0.04  0.05  0.08 -0.04 -0.02  0.03  0.01  0.05  0.01  0.03 -0.02 -0.01  0.03  0.01  0.05  0.01  0.04  0.01  0.02  0.02  0.01 -0.07  0.01  0.00  0.00 -0.06  0.01 -0.11  0.02 -0.01  0.00 -0.06  0.01  0.02 -0.09 -0.03 
x3:    0.03 -0.19  0.37  1.00  0.01 -0.04 -0.04 -0.13  0.25 -0.12 -0.22 -0.08 -0.09 -0.05  0.05 -0.04  0.09  0.23  0.09 -0.13  0.32  0.07 -0.15  0.14  0.24  0.18  0.13  0.14  0.02  0.12  0.09  0.17 -0.05 -0.28 -0.15 -0.14  0.10 -0.14  0.13  0.13  0.08 -0.06  0.12 -0.29  0.05 -0.36 -0.34 -0.07  0.20  0.23  0.19  0.19 -0.03  0.05 -0.02 -0.11 -0.04 -0.18 -0.21 -0.25 -0.29 -0.13 -0.13 -0.14 -0.14  0.13 -0.14 -0.19 -0.17 -0.04  0.08 -0.28  0.25 -0.28 -0.21  0.19 -0.06  0.16  0.19 -0.04  0.13 -0.29 -0.31 -0.09  0.11  0.10  0.10  0.05  0.14  0.19  0.19  0.19  0.18 -0.12 -0.01  0.33 -0.03 -0.03 -0.08  0.24  0.38  0.20  0.19 -0.02 -0.02 -0.02 -0.01 -0.03 -0.03 -0.04 -0.02 -0.02  0.00 -0.04 -0.07 -0.09 -0.07 -0.02 -0.03  0.00  0.01  0.02  0.16 -0.06 -0.03 -0.01 -0.08 -0.03 -0.02 -0.04 -0.16 -0.07 -0.22 -0.03 -0.14 -0.06 -0.22 -0.07 -0.27 -0.08 -0.24 -0.05 -0.11 -0.04 -0.10 -0.26 -0.01 
x4:    0.90 -0.02 -0.03  0.01  1.00 -0.04  0.02 -0.04  0.02  0.00  0.04 -0.02 -0.02 -0.02 -0.01 -0.04  0.00  0.03  0.01  0.01  0.01 -0.01 -0.02  0.00  0.03  0.02  0.01 -0.01 -0.03  0.04  0.01  0.03 -0.05 -0.03  0.01  0.00  0.00  0.02  0.00  0.01 -0.03 -0.02  0.00 -0.02 -0.03 -0.02 -0.02  0.02  0.04  0.04  0.04  0.05 -0.05 -0.04 -0.05 -0.04 -0.04 -0.03 -0.02 -0.03 -0.02  0.01  0.02  0.01  0.01 -0.03  0.04  0.01  0.01  0.03  0.03  0.01  0.03  0.01 -0.02  0.02 -0.04 -0.04  0.03 -0.04  0.00  0.04 -0.02 -0.02  0.02  0.02  0.02  0.02  0.02  0.03  0.03  0.04  0.03  0.01  0.04  0.01 -0.04 -0.04  0.03 -0.01  0.02  0.01  0.02 -0.04  0.03 -0.04  0.03 -0.05  0.03  0.01  0.03  0.02  0.02 -0.01 -0.02 -0.01 -0.01 -0.05  0.01  0.02  0.01 -0.03 -0.02 -0.03 -0.04  0.01  0.00  0.00  0.03 -0.05 -0.03 -0.05  0.00 -0.05 -0.04 -0.04 -0.02 -0.05 -0.02 -0.04 -0.03 -0.05 -0.03 -0.06 -0.05 -0.03  0.92 
x5:   -0.05  0.01  0.02 -0.04 -0.04  1.00 -0.02  0.14 -0.18  0.09  0.09 -0.01  0.05  0.02 -0.04  1.00  0.11 -0.05 -0.01 -0.07 -0.09 -0.05  0.11 -0.06 -0.06 -0.03  0.03 -0.03 -0.01 -0.04 -0.03 -0.05  0.99  0.10  0.04  0.06 -0.01  0.09 -0.02 -0.06  0.01 -0.01 -0.01  0.10  0.13  0.13  0.12  0.06 -0.15 -0.16 -0.12 -0.15 -0.06 -0.08  0.96  0.20  0.93  0.06  0.08  0.09  0.11  0.15  0.15  0.15  0.16 -0.12  0.13  0.11  0.07 -0.01  0.01  0.03 -0.16  0.12  0.14 -0.12  0.92 -0.03 -0.16  0.16 -0.02 -0.06  0.05  0.08  0.01  0.02  0.03  0.07 -0.01  0.00  0.01  0.03 -0.01  0.06  0.04  0.00  0.92  0.90  0.14 -0.07 -0.03  0.03 -0.03  0.96  0.20  0.96  0.20  0.93  0.19  0.27  0.20  0.30  0.28  0.28  0.22  0.16  0.33  0.91  0.36  0.28  0.21  0.22  0.33  0.87  0.95  0.30  0.24  0.20  0.18  0.96  0.24  0.87  0.10  0.95  0.31  0.94  0.13  0.97  0.12  0.97  0.07  0.98  0.24  0.90  0.16  0.19 -0.04 
x6:    0.04 -0.09 -0.04 -0.04  0.02 -0.02  1.00 -0.05 -0.23  0.19  0.49  0.49  0.38  0.32 -0.58 -0.02 -0.01  0.18  0.42  0.16 -0.16 -0.44  0.11 -0.33  0.09 -0.12 -0.12  0.03  0.00 -0.06  0.01 -0.07 -0.01  0.08  0.23  0.12 -0.03  0.15  0.09  0.03 -0.06  0.08 -0.08 -0.42  0.20 -0.33 -0.38  0.82  0.25  0.18  0.17  0.23 -0.20 -0.25 -0.01  0.04  0.02  0.05  0.07  0.08  0.11  0.29  0.31  0.32  0.33 -0.43  0.44  0.67  0.73  0.87  0.80  0.72  0.10  0.54 -0.29  0.18 -0.08  0.21  0.16  0.06 -0.03  0.24  0.01  0.17  0.11  0.10  0.09  0.03  0.14  0.15  0.17  0.16  0.17  0.13  0.24 -0.10 -0.03 -0.01  0.32 -0.06 -0.09 -0.14 -0.05 -0.03 -0.11 -0.03 -0.11 -0.03 -0.09 -0.06 -0.11 -0.10 -0.12 -0.04  0.10  0.00  0.03 -0.03 -0.10 -0.05  0.00  0.02 -0.05 -0.06 -0.02 -0.10 -0.07 -0.08 -0.09 -0.01  0.02 -0.05 -0.12 -0.01 -0.01 -0.02 -0.01 -0.03 -0.10 -0.05 -0.24 -0.01  0.02 -0.01  0.00 -0.02  0.03 
x7:   -0.06  0.17  0.07 -0.13 -0.04  0.14 -0.05  1.00 -0.82 -0.09 -0.06  0.10  0.12  0.09  0.04  0.14  0.02 -0.35 -0.24 -0.15 -0.50  0.11  0.48 -0.05 -0.35 -0.27 -0.12 -0.19 -0.04 -0.11 -0.10 -0.14  0.18  0.50  0.24  0.37 -0.19  0.44 -0.30 -0.02  0.10  0.24 -0.21  0.42  0.28  0.45  0.45  0.07 -0.71 -0.74 -0.67 -0.70  0.12  0.03  0.20  0.81  0.05  0.15  0.17  0.20  0.22 -0.04 -0.03 -0.02 -0.02  0.09 -0.04  0.18  0.10 -0.09 -0.14  0.12 -0.38  0.13  0.23 -0.16  0.19 -0.20 -0.35  0.52  0.19 -0.11  0.49  0.27 -0.26 -0.25 -0.23 -0.14 -0.31 -0.29 -0.28 -0.14 -0.27  0.24 -0.04  0.24  0.12  0.07 -0.09  0.07 -0.03  0.08  0.00  0.14  0.23  0.14  0.23  0.16  0.22  0.23  0.23  0.22  0.22  0.50  0.04  0.05  0.37  0.12  0.27  0.17  0.04  0.11  0.19  0.21  0.13  0.26  0.19  0.25  0.19  0.20  0.65  0.21  0.40  0.14  0.64  0.17  0.54  0.21  0.55  0.18  0.36  0.16  0.41  0.15  0.27  0.58 -0.05 
x8:    0.04 -0.08  0.02  0.25  0.02 -0.18 -0.23 -0.82  1.00 -0.28 -0.41 -0.14 -0.21 -0.12  0.11 -0.19 -0.06  0.31  0.15  0.10  0.60  0.04 -0.60  0.19  0.34  0.29  0.13  0.13  0.03  0.14  0.10  0.20 -0.21 -0.55 -0.46 -0.49  0.22 -0.54  0.28  0.05  0.01 -0.27  0.26 -0.37 -0.35 -0.47 -0.43 -0.39  0.65  0.71  0.61  0.64  0.04  0.18 -0.22 -0.80 -0.13 -0.22 -0.28 -0.33 -0.39 -0.38 -0.41 -0.42 -0.43  0.40 -0.42 -0.56 -0.48 -0.21 -0.12 -0.47  0.51 -0.59 -0.37  0.29 -0.21  0.15  0.45 -0.49 -0.03  0.05 -0.50 -0.38  0.09  0.07  0.06  0.01  0.14  0.13  0.13  0.06  0.13 -0.36 -0.18 -0.09 -0.15 -0.10 -0.37  0.13  0.15 -0.04  0.04 -0.16 -0.21 -0.16 -0.21 -0.19 -0.21 -0.27 -0.21 -0.26 -0.24 -0.45 -0.17 -0.19 -0.42 -0.14 -0.30 -0.23 -0.05 -0.32 -0.24 -0.23 -0.16 -0.29 -0.23 -0.26 -0.19 -0.22 -0.67 -0.24 -0.38 -0.17 -0.71 -0.21 -0.56 -0.25 -0.56 -0.22 -0.32 -0.21 -0.56 -0.20 -0.33 -0.64  0.02 
x9:    0.01 -0.15 -0.09 -0.12  0.00  0.09  0.19 -0.09 -0.28  1.00  0.20 -0.01  0.07  0.04 -0.21  0.10  0.23  0.31  0.25 -0.07  0.13 -0.30 -0.05 -0.16  0.29  0.25  0.29  0.19  0.06  0.06  0.12  0.16  0.05 -0.14 -0.11 -0.18  0.26 -0.13  0.20 -0.09  0.01 -0.24  0.24 -0.12  0.16 -0.04 -0.08  0.20  0.13  0.11  0.17  0.11 -0.11 -0.13  0.04 -0.05  0.12  0.15  0.19  0.25  0.28  0.58  0.58  0.62  0.62 -0.42  0.33  0.21  0.21  0.21  0.19  0.23 -0.10  0.30  0.05 -0.07  0.03  0.18 -0.08 -0.11 -0.32  0.07 -0.25 -0.06  0.51  0.51  0.50  0.40  0.50  0.48  0.47  0.25  0.45  0.14  0.35 -0.21  0.07  0.07  0.60 -0.35 -0.15 -0.14 -0.16  0.04  0.00  0.04  0.01  0.06  0.02  0.10  0.00  0.08  0.08  0.00  0.10  0.36  0.08  0.04  0.10  0.14  0.00  0.29  0.23  0.05  0.05  0.09  0.10  0.06  0.03  0.05  0.01  0.06 -0.07  0.06  0.13  0.06 -0.03  0.07 -0.01  0.07 -0.09  0.08  0.18  0.07  0.05  0.05  0.03 
