Output for File: data/Communities and Crime Normalized/communities.data
Correlation Matrix:

        x0    x1    x2    x3    x4    x5    x6    x7    x8    x9    x10   x11   x12   x13   x14   x15   x16   x17   x18   x19   x20   x21   x22   x23   x24   x25   x26   x27   x28   x29   x30   x31   x32   x33   x34   x35   x36   x37   x38   x39   x40   x41   x42   x43   x44   x45   x46   x47   x48   x49   x50   x51   x52   x53   x54   x55   x56   x57   x58   x59   x60   x61   x62   x63   x64   x65   x66   x67   x68   x69   x70   x71   x72   x73   x74   x75   x76   x77   x78   x79   x80   x81   x82   x83   x84   x85   x86   x87   x88   x89   x90   x91   x92   x93   x94   x95   x96   x97   x98   x99   x100  x101  x102  x103  x104  x105  x106  x107  x108  x109  x110  x111  x112  x113  x114  x115  x116  x117  x118  x119  x120  x121  x122  x123  x124  x125  x126  x127  
x0:    1.00  0.25  0.23  0.00  0.00 -0.08 -0.05 -0.05  0.21 -0.32 -0.21  0.10  0.04  0.05  0.01 -0.08 -0.10 -0.13  0.01  0.09  0.06  0.06 -0.10  0.01 -0.12 -0.14 -0.18 -0.13 -0.07 -0.08 -0.10 -0.10 -0.04  0.03  0.00  0.00 -0.04 -0.04 -0.01  0.10  0.08  0.11 -0.05 -0.10 -0.08 -0.18 -0.15 -0.06  0.08  0.11  0.05  0.09  0.02  0.06 -0.06 -0.12 -0.18 -0.06 -0.10 -0.11 -0.11 -0.31 -0.32 -0.33 -0.33  0.25 -0.24 -0.16 -0.15 -0.08  0.00 -0.18  0.08 -0.27 -0.16  0.09 -0.07  0.02  0.04  0.08  0.27 -0.14  0.09  0.02 -0.37 -0.37 -0.36 -0.29 -0.31 -0.31 -0.30 -0.29 -0.36  0.20 -0.06 -0.12 -0.36  0.34  0.15  0.06  0.13 -0.03 -0.06 -0.07 -0.06 -0.05 -0.08 -0.09 -0.06 -0.06 -0.04 -0.07 -0.08 -0.14 -0.09 -0.04 -0.08 -0.11 -0.04 -0.14 -0.02 -0.04 -0.06 -0.06 -0.08 -0.08 -0.09 -0.10 
x1:    0.25  1.00  0.34  0.00  0.00  0.07 -0.03  0.09  0.00 -0.08 -0.12  0.02  0.03  0.05  0.02  0.07  0.01 -0.03  0.00 -0.06  0.03  0.04 -0.02  0.09 -0.03 -0.03 -0.02 -0.02 -0.01 -0.02 -0.02  0.00  0.05 -0.02  0.00  0.02 -0.02 -0.06 -0.01  0.05  0.04  0.05 -0.02 -0.01  0.05 -0.05 -0.03 -0.08 -0.04 -0.03 -0.04 -0.03  0.04  0.07  0.07  0.07 -0.03 -0.02 -0.03 -0.03 -0.04 -0.10 -0.10 -0.10 -0.10  0.12 -0.11 -0.09 -0.09 -0.07 -0.06 -0.08  0.00 -0.12 -0.06  0.07  0.05  0.07 -0.01  0.05  0.03 -0.08  0.01  0.00 -0.07 -0.07 -0.07 -0.05 -0.06 -0.06 -0.06 -0.06 -0.08  0.03  0.03  0.00 -0.12  0.11  0.04 -0.04  0.01  0.06  0.04  0.05  0.05  0.09  0.07  0.08  0.04  0.02  0.06  0.09 -0.04 -0.01  0.03  0.06  0.06  0.01  0.10 -0.02  0.02  0.06  0.04  0.06  0.02  0.06  0.02 -0.03 
x2:    0.23  0.34  1.00  0.02 -0.01 -0.06 -0.03 -0.14  0.26 -0.11 -0.24 -0.14 -0.13 -0.09  0.09 -0.05  0.09  0.27  0.09 -0.14  0.37  0.09 -0.20  0.16  0.28  0.24  0.19  0.21 -0.01  0.14  0.09  0.21 -0.09 -0.32 -0.15 -0.15  0.13 -0.19  0.15  0.09  0.10 -0.10  0.15 -0.34  0.05 -0.41 -0.38 -0.05  0.24  0.26  0.23  0.22 -0.04  0.06 -0.04 -0.15 -0.08 -0.18 -0.21 -0.24 -0.28 -0.12 -0.12 -0.12 -0.13  0.11 -0.15 -0.19 -0.18 -0.03  0.09 -0.29  0.26 -0.32 -0.22  0.20 -0.09  0.19  0.20 -0.05  0.16 -0.32 -0.33 -0.09  0.18  0.17  0.15  0.17  0.22  0.22  0.22 -0.13  0.05  0.35 -0.03 -0.08 -0.06  0.22  0.40  0.21  0.18 -0.02  0.00 -0.02  0.00 -0.04 -0.03 -0.05  0.00 -0.02  0.01 -0.04 -0.07 -0.10 -0.07 -0.02 -0.03 -0.01 -0.02  0.01  0.24 -0.07 -0.03 -0.01 -0.08 -0.03 -0.02 -0.12 
x3:    0.00  0.00  0.02  1.00  0.90 -0.01  0.05 -0.03  0.02  0.01  0.02 -0.02 -0.01 -0.02 -0.05 -0.01  0.05  0.08  0.06  0.01  0.05 -0.05 -0.07  0.00  0.07  0.06  0.06  0.03  0.03  0.01  0.04  0.03 -0.02 -0.07 -0.04 -0.05  0.04 -0.04  0.07 -0.06 -0.02 -0.08  0.04 -0.07 -0.02 -0.06 -0.07  0.04  0.08  0.07  0.09  0.06 -0.01 -0.02 -0.02 -0.04  0.01 -0.06 -0.05 -0.05 -0.04  0.00  0.01  0.01  0.02 -0.02  0.02  0.02  0.03  0.07  0.06  0.04  0.06  0.01 -0.06  0.05  0.00 -0.02  0.07  0.00  0.03  0.04 -0.05 -0.04  0.05  0.05  0.05  0.07  0.07  0.08  0.07  0.02  0.07  0.02 -0.03 -0.03  0.03 -0.04  0.01 -0.02 -0.02 -0.01 -0.01 -0.03 -0.02  0.00 -0.02 -0.03 -0.01 -0.02 -0.03 -0.03 -0.01  0.01 -0.02 -0.02 -0.02 -0.03  0.01  0.00  0.01  0.00 -0.01 -0.05 -0.03 -0.03  0.00  0.01 
x4:    0.00  0.00 -0.01  0.90  1.00 -0.01  0.04  0.00  0.00  0.00  0.00  0.00  0.01 -0.01 -0.06  0.00  0.03  0.05  0.05  0.01  0.02 -0.05 -0.04 -0.02  0.04  0.03  0.04  0.01  0.02 -0.01  0.03  0.02 -0.01 -0.04 -0.03 -0.04  0.02 -0.03  0.06 -0.04 -0.01 -0.06  0.03 -0.02 -0.02 -0.02 -0.02  0.03  0.03  0.03  0.05  0.02  0.02  0.01 -0.01 -0.01  0.01 -0.03 -0.02 -0.02 -0.02 -0.01 -0.01 -0.01  0.00  0.00  0.00  0.01  0.01  0.04  0.03  0.03  0.03  0.00 -0.04  0.03  0.00 -0.02  0.03  0.01  0.01  0.04 -0.02 -0.02  0.02  0.02  0.03  0.03  0.03  0.04  0.04  0.01  0.04  0.01 -0.01 -0.02  0.00 -0.03 -0.02 -0.04 -0.03 -0.02 -0.01 -0.03 -0.02 -0.01 -0.02 -0.03 -0.01 -0.02 -0.03 -0.02 -0.01  0.01 -0.02 -0.01 -0.02 -0.03  0.02 -0.01  0.00 -0.01 -0.01 -0.05 -0.03 -0.02 -0.01  0.02 
x5:   -0.08  0.07 -0.06 -0.01 -0.01  1.00 -0.05  0.23 -0.30  0.18  0.16  0.01  0.13  0.08 -0.10  0.99  0.24 -0.10  0.00 -0.13 -0.15 -0.12  0.18 -0.09 -0.11 -0.06  0.04 -0.06 -0.02 -0.08 -0.03 -0.08  0.95  0.16  0.04  0.06  0.00  0.15 -0.01 -0.11  0.02 -0.03 -0.02  0.23  0.25  0.26  0.25  0.09 -0.27 -0.27 -0.23 -0.26 -0.04 -0.09  0.89  0.33  0.74  0.14  0.16  0.18  0.21  0.20  0.20  0.21  0.21 -0.17  0.18  0.19  0.12 -0.04  0.00  0.03 -0.25  0.21  0.22 -0.21  0.90 -0.09 -0.25  0.33 -0.09 -0.06  0.06  0.11 -0.01  0.00  0.02 -0.01 -0.01  0.00 -0.02  0.13  0.08 -0.04  0.82  0.65  0.17 -0.13 -0.12  0.00 -0.09  0.78  0.42  0.50  0.45  0.81  0.48  0.57  0.42  0.55  0.50  0.53  0.46  0.34  0.60  0.70  0.64  0.53  0.71  0.23  0.27  0.84  0.80  0.54  0.47  0.47  0.41  0.16 
x6:   -0.05 -0.03 -0.03  0.05  0.04 -0.05  1.00 -0.07 -0.24  0.20  0.47  0.52  0.37  0.30 -0.61 -0.05 -0.02  0.21  0.44  0.18 -0.16 -0.45  0.12 -0.32  0.11 -0.13 -0.13  0.04 -0.01 -0.06  0.02 -0.09 -0.03  0.06  0.17  0.10 -0.03  0.14  0.11  0.02 -0.08  0.05 -0.08 -0.45  0.15 -0.35 -0.41  0.85  0.28  0.21  0.20  0.27 -0.23 -0.27 -0.03  0.02  0.11  0.03  0.05  0.07  0.10  0.28  0.29  0.30  0.31 -0.42  0.42  0.66  0.74  0.89  0.83  0.73  0.14  0.50 -0.33  0.22 -0.18  0.23  0.19  0.05 -0.04  0.25 -0.01  0.14  0.13  0.12  0.10  0.15  0.17  0.18  0.18  0.13  0.25 -0.10 -0.08 -0.04  0.31 -0.05 -0.06 -0.10  0.00 -0.06 -0.13 -0.10 -0.13 -0.05 -0.11 -0.07 -0.13 -0.12 -0.14 -0.06  0.07  0.00  0.01 -0.07 -0.11 -0.06 -0.02  0.00 -0.05 -0.09 -0.05 -0.10 -0.07 -0.09 -0.11  0.05 
x7:   -0.05  0.09 -0.14 -0.03  0.00  0.23 -0.07  1.00 -0.79 -0.11 -0.07  0.12  0.15  0.13  0.05  0.22  0.00 -0.36 -0.23 -0.15 -0.49  0.11  0.44 -0.07 -0.36 -0.29 -0.10 -0.25 -0.05 -0.12 -0.11 -0.15  0.32  0.49  0.29  0.37 -0.18  0.39 -0.27 -0.02  0.10  0.23 -0.20  0.40  0.28  0.43  0.43  0.05 -0.70 -0.74 -0.66 -0.69  0.17  0.08  0.40  0.81  0.08  0.17  0.19  0.23  0.25 -0.04 -0.03 -0.02 -0.02  0.10 -0.05  0.19  0.11 -0.11 -0.17  0.11 -0.38  0.16  0.23 -0.15  0.28 -0.25 -0.34  0.47  0.17 -0.09  0.49  0.30 -0.29 -0.27 -0.25 -0.32 -0.30 -0.29 -0.28  0.19 -0.07  0.22  0.23  0.17 -0.10  0.09 -0.05  0.06  0.00  0.22  0.27  0.25  0.28  0.22  0.27  0.23  0.27  0.15  0.19  0.48  0.07  0.08  0.36  0.25  0.26  0.18  0.15  0.10  0.15  0.26  0.20  0.23  0.20  0.26  0.21  0.34 
x8:    0.21  0.00  0.26  0.02  0.00 -0.30 -0.24 -0.79  1.00 -0.27 -0.44 -0.19 -0.27 -0.18  0.14 -0.30 -0.05  0.31  0.12  0.10  0.60  0.07 -0.59  0.23  0.34  0.32  0.12  0.19  0.04  0.15  0.11  0.21 -0.38 -0.54 -0.47 -0.49  0.22 -0.52  0.26  0.04  0.03 -0.26  0.26 -0.34 -0.38 -0.45 -0.41 -0.40  0.64  0.70  0.60  0.61  0.01  0.16 -0.42 -0.80 -0.31 -0.24 -0.30 -0.36 -0.42 -0.40 -0.42 -0.44 -0.45  0.42 -0.45 -0.59 -0.52 -0.21 -0.12 -0.47  0.51 -0.64 -0.37  0.28 -0.28  0.18  0.44 -0.45  0.01  0.02 -0.48 -0.42  0.09  0.07  0.06  0.13  0.13  0.12  0.13 -0.34 -0.17 -0.06 -0.28 -0.24 -0.37  0.11  0.17 -0.02  0.03 -0.23 -0.25 -0.27 -0.26 -0.24 -0.26 -0.27 -0.25 -0.18 -0.19 -0.43 -0.22 -0.20 -0.41 -0.26 -0.29 -0.24 -0.13 -0.34 -0.22 -0.26 -0.23 -0.26 -0.23 -0.28 -0.22 -0.38 
x9:   -0.32 -0.08 -0.11  0.01  0.00  0.18  0.20 -0.11 -0.27  1.00  0.27 -0.03  0.10  0.05 -0.27  0.20  0.27  0.36  0.31 -0.09  0.17 -0.37 -0.06 -0.17  0.35  0.32  0.36  0.30  0.12  0.10  0.19  0.20  0.09 -0.17 -0.16 -0.24  0.32 -0.16  0.25 -0.10  0.01 -0.28  0.29 -0.11  0.21 -0.01 -0.07  0.21  0.15  0.13  0.19  0.11 -0.16 -0.18  0.07 -0.05  0.38  0.19  0.23  0.29  0.32  0.65  0.65  0.68  0.67 -0.47  0.39  0.24  0.24  0.21  0.21  0.23 -0.12  0.35  0.06 -0.08  0.04  0.25 -0.11 -0.14 -0.39  0.07 -0.31 -0.08  0.58  0.59  0.57  0.57  0.55  0.54  0.51  0.18  0.40 -0.23  0.13  0.17  0.66 -0.41 -0.19 -0.19 -0.20  0.06  0.02  0.11  0.03  0.09  0.05  0.14  0.02  0.10  0.10  0.01  0.15  0.32  0.10  0.07  0.13  0.17  0.00  0.39  0.30  0.05  0.11  0.12  0.13  0.10  0.08  0.01 
