Correlation Matrix:

        x0    x1    x2    x3    x4    x5    x6    x7    x8    x9    x10   x11   x12   x13   x14   x15   x16   x17   x18   x19   x20   x21   x22   x23   x24   x25   x26   x27   x28   x29   x30   x31   x32   x33   x34   x35   x36   x37   x38   x39   x40   x41   x42   x43   x44   x45   x46   x47   x48   x49   x50   x51   x52   x53   x54   x55   x56   x57   x58   x59   x60   x61   x62   x63   x64   x65   x66   x67   x68   x69   x70   x71   x72   x73   x74   x75   x76   x77   x78   x79   x80   x81   x82   x83   x84   x85   x86   x87   x88   x89   x90   x91   x92   x93   x94   x95   x96   x97   x98   
x0:    1.00  0.01 -0.01 -0.02 -0.06 -0.08 -0.06 -0.06 -0.06 -0.01 -0.05  0.17 -0.01 -0.02 -0.04 -0.01  0.07  0.07 -0.06 -0.15  0.00 -0.04 -0.01 -0.05  0.07  0.10 -0.08 -0.04 -0.05 -0.04 -0.05 -0.05 -0.03  0.12 -0.06 -0.06 -0.06 -0.06 -0.03 -0.09 -0.09 -0.10 -0.08  0.00 -0.03 -0.04 -0.04 -0.03 -0.03 -0.01 -0.04 -0.08 -0.05 -0.03 -0.04 -0.11 -0.04 -0.08 -0.05 -0.03 -0.04 -0.11 -0.04 -0.09 -0.05 -0.04 -0.04 -0.13 -0.04 -0.07 -0.05 -0.03 -0.04 -0.10 -0.01  0.02 -0.11  0.03  0.04  0.10  0.13  0.14  0.14  0.13  0.10  0.12  0.12  0.12  0.12 -0.07  0.11  0.11  0.09  0.11  0.08  0.19  0.00  0.02  0.00 
x1:    0.01  1.00 -0.03 -0.02  0.02  0.07 -0.02 -0.02 -0.02  0.20  0.07 -0.01 -0.68 -0.01  0.14 -0.67 -0.52  0.01  0.13  0.02  0.44  0.09 -0.52  0.12 -0.06 -0.28  0.14  0.11  0.08  0.10  0.09  0.07 -0.05 -0.03  0.02 -0.02 -0.02 -0.02  0.38  0.07  0.07  0.07  0.06  0.02  0.13  0.51  0.15  0.62  0.11  0.62  0.06  0.06  0.28  0.66  0.06  0.01  0.08  0.08  0.28  0.66  0.08  0.02  0.10  0.11  0.27  0.67  0.10  0.04  0.05  0.04  0.28  0.66  0.05  0.00 -0.52 -0.09  0.01 -0.17  0.05 -0.28 -0.33 -0.34 -0.35 -0.32 -0.19  0.06  0.08  0.10  0.05 -0.44  0.07  0.07 -0.01  0.07 -0.18  0.01 -0.38  0.00  0.00 
x2:   -0.01 -0.03  1.00  0.03  0.15  0.08  0.10  0.10  0.09 -0.01 -0.07 -0.05  0.02 -0.05 -0.01  0.01  0.07  0.03 -0.06 -0.17 -0.02  0.00  0.01  0.05  0.01  0.10 -0.03  0.00  0.02  0.01  0.01  0.02  0.01  0.10  0.15  0.10  0.10  0.09  0.06  0.08  0.08  0.06  0.08  0.00 -0.03 -0.04  0.00 -0.02 -0.04 -0.03 -0.01 -0.01  0.01 -0.01 -0.02 -0.01 -0.02 -0.02  0.00 -0.02 -0.03 -0.02 -0.02 -0.04  0.00 -0.02 -0.04 -0.02 -0.01 -0.01  0.01 -0.01 -0.02 -0.01  0.01 -0.14  0.05  0.03  0.00  0.10  0.00  0.01  0.02  0.00  0.03 -0.02 -0.02 -0.02 -0.02  0.00  0.00 -0.01  0.01 -0.01  0.04  0.10  0.02  0.05  0.00 
x3:   -0.02 -0.02  0.03  1.00 -0.25 -0.28 -0.23 -0.23 -0.18  0.00  0.03  0.07  0.00  0.01 -0.07  0.00 -0.03 -0.04  0.03  0.04  0.00 -0.03 -0.02 -0.09 -0.05 -0.04 -0.08 -0.02 -0.10 -0.09 -0.10 -0.10 -0.03 -0.04 -0.25 -0.23 -0.23 -0.18 -0.12 -0.23 -0.24 -0.18 -0.17  0.00  0.00  0.02 -0.03  0.00  0.05  0.02 -0.08 -0.09 -0.09 -0.02 -0.02  0.02 -0.07 -0.08 -0.09 -0.01 -0.02  0.02 -0.07 -0.06 -0.08 -0.01 -0.02  0.04 -0.08 -0.10 -0.09 -0.02 -0.02  0.01 -0.02 -0.02 -0.04 -0.03 -0.03 -0.04  0.04  0.03  0.02  0.05 -0.01 -0.04 -0.04 -0.03 -0.04  0.04 -0.08 -0.05  0.00 -0.08 -0.03 -0.04 -0.02  0.22  0.00 
x4:   -0.06  0.02  0.15 -0.25  1.00  0.54  0.67  0.67  0.57  0.04  0.00 -0.14 -0.03 -0.05  0.19 -0.03 -0.02  0.06  0.04 -0.24  0.04  0.14 -0.02  0.26 -0.02  0.01  0.08  0.06  0.24  0.22  0.23  0.24  0.14  0.02  1.00  0.67  0.67  0.57  0.52  0.71  0.71  0.61  0.76  0.00 -0.01  0.03  0.13  0.06  0.00  0.03  0.06  0.11  0.21  0.08  0.06  0.07  0.06  0.10  0.21  0.07  0.07  0.06  0.06  0.08  0.20  0.07  0.07  0.04  0.05  0.11  0.21  0.08  0.06  0.07 -0.02  0.02  0.12 -0.02  0.01  0.01 -0.14 -0.13 -0.11 -0.15 -0.06  0.04  0.04  0.03  0.04 -0.04  0.10  0.04  0.00  0.06  0.02  0.01 -0.02  0.04  0.00 
x5:   -0.08  0.07  0.08 -0.28  0.54  1.00  0.69  0.69  0.66  0.29  0.57 -0.04 -0.10 -0.07  0.44 -0.09 -0.24 -0.11  0.49 -0.04  0.25  0.32 -0.09  0.45 -0.27 -0.28  0.38  0.17  0.47  0.46  0.47  0.47  0.29 -0.23  0.54  0.69  0.69  0.66  0.48  0.90  0.90  0.90  0.79  0.00  0.20  0.20  0.26  0.16  0.07  0.11  0.32  0.38  0.39  0.17  0.17  0.15  0.33  0.38  0.39  0.17  0.19  0.16  0.34  0.37  0.39  0.17  0.21  0.17  0.31  0.37  0.38  0.18  0.15  0.14 -0.09 -0.01  0.02 -0.27 -0.07 -0.28 -0.27 -0.26 -0.26 -0.27 -0.18  0.03  0.04  0.04  0.02 -0.04  0.11  0.04 -0.11  0.14 -0.16 -0.24 -0.07  0.26  0.00 
x6:   -0.06 -0.02  0.10 -0.23  0.67  0.69  1.00  1.00  0.98  0.64  0.24 -0.11 -0.20 -0.06  0.23 -0.20 -0.13 -0.02  0.22 -0.13  0.53  0.29 -0.14  0.42 -0.10 -0.04  0.27  0.07  0.29  0.27  0.28  0.30  0.32  0.03  0.67  1.00  1.00  0.98  0.78  0.74  0.75  0.71  0.67  0.00  0.11  0.22  0.13  0.21  0.12  0.22  0.16  0.21  0.14  0.20  0.09  0.10  0.16  0.20  0.14  0.20  0.09  0.09  0.15  0.18  0.14  0.20  0.10  0.07  0.16  0.21  0.14  0.20  0.08  0.10 -0.14  0.05  0.08 -0.08 -0.06 -0.04 -0.12 -0.12 -0.12 -0.12 -0.11  0.02  0.02  0.01  0.02 -0.09  0.08  0.03 -0.05  0.08 -0.12  0.01 -0.14  0.13  0.00 
x7:   -0.06 -0.02  0.10 -0.23  0.67  0.69  1.00  1.00  0.98  0.64  0.24 -0.11 -0.20 -0.06  0.23 -0.20 -0.13 -0.02  0.22 -0.13  0.53  0.29 -0.14  0.42 -0.10 -0.04  0.27  0.07  0.29  0.27  0.28  0.30  0.32  0.03  0.67  1.00  1.00  0.98  0.78  0.74  0.75  0.71  0.67  0.00  0.11  0.22  0.13  0.21  0.12  0.22  0.16  0.21  0.14  0.20  0.09  0.10  0.16  0.20  0.14  0.20  0.09  0.09  0.15  0.18  0.14  0.20  0.10  0.07  0.16  0.21  0.14  0.20  0.08  0.10 -0.14  0.05  0.08 -0.08 -0.06 -0.04 -0.12 -0.12 -0.12 -0.12 -0.11  0.02  0.02  0.01  0.02 -0.09  0.08  0.03 -0.05  0.08 -0.12  0.01 -0.14  0.13  0.00 
x8:   -0.06 -0.02  0.09 -0.18  0.57  0.66  0.98  0.98  1.00  0.69  0.26 -0.11 -0.21 -0.06  0.22 -0.21 -0.14 -0.02  0.23 -0.13  0.57  0.29 -0.15  0.41 -0.11 -0.04  0.27  0.06  0.28  0.26  0.27  0.29  0.32  0.03  0.57  0.98  0.98  1.00  0.76  0.69  0.69  0.70  0.60  0.00  0.12  0.23  0.13  0.22  0.14  0.23  0.16  0.21  0.12  0.21  0.09  0.10  0.16  0.20  0.12  0.21  0.09  0.09  0.16  0.18  0.12  0.21  0.10  0.07  0.16  0.21  0.12  0.21  0.08  0.10 -0.15  0.08  0.08 -0.09 -0.07 -0.04 -0.11 -0.11 -0.12 -0.11 -0.11  0.01  0.01  0.00  0.01 -0.10  0.06  0.02 -0.05  0.07 -0.13  0.01 -0.15  0.16  0.00 
x9:   -0.01  0.20 -0.01  0.00  0.04  0.29  0.64  0.64  0.69  1.00  0.38  0.04 -0.60 -0.03  0.12 -0.59 -0.39 -0.14  0.34  0.11  0.94  0.31 -0.45  0.37 -0.20 -0.15  0.35  0.04  0.12  0.12  0.12  0.12  0.34  0.07  0.04  0.64  0.64  0.69  0.81  0.29  0.29  0.31  0.28  0.00  0.22  0.56  0.13  0.57  0.28  0.62  0.06  0.13  0.04  0.54  0.04  0.07  0.07  0.14  0.04  0.54  0.05  0.08  0.08  0.14  0.04  0.55  0.06  0.08  0.06  0.12  0.04  0.53  0.03  0.07 -0.45 -0.05 -0.05 -0.15 -0.09 -0.15 -0.16 -0.18 -0.20 -0.14 -0.19 -0.02 -0.01 -0.01 -0.03 -0.31  0.00 -0.01 -0.05 -0.01 -0.27  0.04 -0.37  0.05  0.00 
